Company Name,Item,Price,Date
Amazon,Book,25.99,2024-02-01
Amazon,Blender,59.99,2024-03-03
Amazon,Wireless Mouse,19.99,2024-03-01
Amazon,Power Bank,39.99,2024-02-28
Amazon,Desk Chair,129.99,2024-02-27
Amazon,Printer,149.99,2024-02-25
Amazon,External Hard Drive,79.99,2024-02-22
Amazon,Board Game,29.99,2024-02-20
Amazon,Bluetooth Speaker,49.99,2024-02-19
Amazon,Tablet,299.99,2024-02-15
Amazon,Smart Speaker,199.99,2024-02-14
Amazon,Smart Thermostat,149.99,2024-03-06
Amazon,Kindle,119.99,2024-02-09
Amazon,Charger,15.99,2024-02-07
Amazon,DVD,19.99,2024-02-12
Amazon,Headphones,89.99,2024-02-04
Apple,iPhone,999.99,2024-02-08
Best Buy,Video Game,59.99,2024-02-16
Best Buy,Laptop,899.99,2024-03-02
Best Buy,Smartwatch,199.99,2024-02-23
McDonald's,Meal,7.99,2024-02-18
Netflix,Subscription,12.99,2024-02-11
Netflix,Subscription,12.99,2024-02-03
Starbucks,Coffee,4.5,2024-02-02
Starbucks,Coffee,4.5,2024-02-29
Starbucks,Coffee,4.5,2024-02-13
Starbucks,Coffee,4.5,2024-02-06
Starbucks,Coffee,4.5,2024-02-21
Starbucks,Coffee,4.5,2024-03-05
Target,Clothing,39.99,2024-02-17
Target,Home Decor,29.99,2024-03-04
Target,Electronics,199.99,2024-02-26
Walmart,Groceries,42.75,2024-02-05
Walmart,Toys,34.99,2024-02-10
Walmart,Household Supplies,24.99,2024-02-24
